Date,Close/Last,Volume,Open,High,Low,,,
02/14/2025,$228.68,27031080,$229.20,$229.89,$227.23,,1.171,
02/13/2025,$230.37,31346510,$228.85,$230.42,$227.52,,1.275,-0.060
02/12/2025,$228.93,32285250,$230.46,$231.18,$228.16,,1.324,-0.043
02/11/2025,$232.76,23713730,$231.92,$233.44,$230.13,,1.438,-0.038
02/10/2025,$233.14,35419930,$230.55,$233.92,$229.20,,2.059,-0.037
02/07/2025,$229.15,77539280,$232.50,$234.81,$228.06,,2.960,-0.036
02/06/2025,$238.83,60897100,$238.01,$239.66,$236.01,,1.547,-0.035
02/05/2025,$236.17,38832040,$237.02,$238.32,$235.20,,1.327,-0.034
02/04/2025,$242.06,29713810,$239.01,$242.52,$238.03,,1.886,-0.031
02/03/2025,$237.42,37285870,$234.06,$239.25,$232.90,,2.726,-0.031
01/31/2025,$237.68,36162380,$236.50,$240.29,$236.41,,1.641,-0.029
01/30/2025,$234.64,32020730,$237.14,$237.95,$232.22,,2.467,-0.029
01/29/2025,$237.07,26091720,$239.02,$240.39,$236.15,,1.795,-0.028
01/28/2025,$238.15,41587190,$234.29,$241.77,$233.98,,3.329,-0.027
01/27/2025,$235.42,49428330,$226.21,$235.61,$225.86,,4.317,-0.026
01/24/2025,$234.85,25890740,$234.50,$236.40,$232.93,,1.490,-0.025
01/23/2025,$235.42,26404360,$234.10,$235.52,$231.51,,1.732,-0.025
01/22/2025,$235.01,41448220,$232.02,$235.44,$231.19,,1.838,-0.025
01/21/2025,$230.71,39951460,$228.90,$231.78,$226.94,,2.133,-0.024
01/17/2025,$225.94,42370120,$225.84,$226.51,$223.08,,1.538,-0.024
01/16/2025,$220.66,24757280,$224.42,$224.65,$220.31,,1.970,-0.023
01/15/2025,$223.35,31291260,$222.83,$223.57,$220.75,,1.277,-0.023
01/14/2025,$217.76,24711650,$220.44,$221.82,$216.20,,2.599,-0.023
01/13/2025,$218.46,27262660,$218.06,$219.40,$216.47,,1.354,-0.023
01/10/2025,$218.94,36811530,$221.46,$221.71,$216.50,,2.406,-0.022
01/08/2025,$222.13,25033290,$223.19,$223.52,$220.20,,1.508,-0.022
01/07/2025,$222.11,28084160,$227.90,$228.38,$221.46,,3.125,-0.022
01/06/2025,$227.61,31849830,$226.78,$228.84,$224.84,,1.777,-0.021
01/03/2025,$224.19,27515610,$222.51,$225.36,$221.62,,1.688,-0.021
01/02/2025,$220.22,33956580,$222.03,$225.15,$218.19,,3.190,-0.021
12/31/2024,$219.39,24819660,$222.97,$223.23,$218.94,,1.959,-0.020
12/30/2024,$221.30,28321240,$220.06,$223.00,$218.43,,2.091,-0.020
12/27/2024,$223.75,27367150,$225.60,$226.03,$220.90,,2.322,-0.020
12/26/2024,$227.05,16174500,$228.50,$228.50,$226.67,,0.807,-0.020
12/24/2024,$229.05,15007500,$226.94,$229.14,$226.13,,1.331,-0.019
12/23/2024,$225.06,28070010,$225.01,$226.88,$223.90,,1.331,-0.019
12/20/2024,$224.92,88279180,$219.84,$226.21,$218.73,,3.420,-0.019
12/19/2024,$223.29,39918740,$224.91,$226.09,$222.92,,1.422,-0.018
12/18/2024,$220.52,43281440,$230.77,$231.40,$220.11,,5.129,-0.018
12/17/2024,$231.15,35948130,$232.39,$232.73,$227.85,,2.142,-0.018
12/16/2024,$232.93,37552100,$230.23,$233.00,$228.01,,2.189,-0.018
12/13/2024,$227.46,28768080,$228.40,$230.20,$225.86,,1.921,-0.018
12/12/2024,$228.97,28204080,$229.83,$231.09,$227.63,,1.520,-0.018
12/11/2024,$230.26,35385790,$226.41,$231.20,$226.26,,2.183,-0.017
12/10/2024,$225.04,31199860,$226.09,$229.06,$224.20,,2.168,-0.017
12/09/2024,$226.09,46819360,$227.21,$230.08,$225.67,,1.954,-0.016
12/06/2024,$227.03,44178070,$220.75,$227.15,$220.60,,2.969,-0.015
12/05/2024,$220.55,41140220,$218.03,$222.15,$217.30,,2.232,-0.015
12/04/2024,$218.16,48745720,$215.96,$220.00,$215.75,,1.970,-0.015
12/03/2024,$213.44,32214830,$210.31,$214.02,$209.65,,2.084,-0.015
12/02/2024,$210.71,39523190,$209.96,$212.99,$209.51,,1.661,-0.014
11/29/2024,$207.89,24892450,$205.83,$208.20,$204.59,,1.765,-0.014
11/27/2024,$205.74,28061640,$206.98,$207.64,$205.05,,1.263,-0.014
11/26/2024,$207.86,41673740,$201.90,$208.00,$201.79,,3.077,-0.013
11/25/2024,$201.45,40685670,$199.28,$201.95,$199.00,,1.482,-0.013
11/22/2024,$197.12,31530840,$198.25,$199.26,$196.75,,1.276,-0.013
11/21/2024,$198.38,58800040,$203.49,$203.49,$195.75,,3.954,-0.013
11/20/2024,$202.88,32768990,$202.98,$203.13,$199.45,,1.845,-0.013
11/19/2024,$204.61,31197870,$199.33,$205.30,$198.78,,3.280,-0.013
11/18/2024,$201.70,36512470,$204.15,$204.67,$200.95,,1.851,-0.013
11/15/2024,$202.61,86591140,$206.76,$207.34,$199.61,,3.873,-0.013
11/14/2024,$211.48,42620310,$214.16,$215.90,$210.88,,2.381,-0.013
11/13/2024,$214.10,46212940,$209.40,$215.09,$209.14,,2.845,-0.012
11/12/2024,$208.91,38942920,$208.37,$209.54,$206.01,,1.714,-0.012
11/11/2024,$206.84,35456010,$208.50,$209.65,$205.59,,1.975,-0.012
11/08/2024,$208.18,36075850,$209.72,$209.96,$207.44,,1.216,-0.012
11/07/2024,$210.05,52878380,$207.44,$212.25,$207.19,,2.442,-0.012
11/06/2024,$207.09,72292170,$200.01,$207.55,$199.14,,4.223,-0.012
11/05/2024,$199.50,30564780,$196.04,$199.82,$195.99,,1.954,-0.011
11/04/2024,$195.78,38492060,$196.45,$197.33,$194.31,,1.554,-0.011
11/01/2024,$197.93,99687850,$199.00,$200.50,$197.02,,1.766,-0.011
10/31/2024,$186.40,75146760,$190.51,$190.60,$185.23,,2.899,-0.011
10/30/2024,$192.73,37707550,$194.70,$195.61,$192.42,,1.658,-0.011
10/29/2024,$190.83,35690160,$188.58,$191.46,$187.82,,1.941,-0.011
10/28/2024,$188.39,27930840,$189.57,$190.21,$188.21,,1.063,-0.010
10/25/2024,$187.83,29362060,$187.85,$190.45,$187.53,,1.557,-0.010
10/24/2024,$186.38,21647400,$185.25,$187.11,$183.86,,1.768,-0.010
10/23/2024,$184.71,31937090,$188.85,$189.16,$183.69,,2.978,-0.009
10/22/2024,$189.70,29650590,$188.35,$191.52,$186.98,,2.431,-0.009
10/21/2024,$189.07,24639390,$188.05,$189.46,$186.40,,1.642,-0.009
10/18/2024,$188.99,37417670,$187.15,$190.74,$186.28,,2.394,-0.009
10/17/2024,$187.53,25039410,$188.22,$188.94,$186.00,,1.581,-0.009
10/16/2024,$186.89,23456810,$187.05,$187.78,$185.61,,1.169,-0.008
10/15/2024,$187.69,32178930,$187.63,$188.41,$184.58,,2.075,-0.008
10/14/2024,$187.54,22614410,$189.78,$189.83,$187.36,,1.318,-0.008
10/11/2024,$188.82,25751560,$186.63,$189.93,$186.30,,1.948,-0.008
10/10/2024,$186.65,27785040,$187.13,$188.13,$185.83,,1.240,-0.008
10/09/2024,$185.17,26343120,$182.82,$185.85,$182.05,,2.085,-0.008
10/08/2024,$182.72,26372090,$181.92,$183.09,$180.92,,1.199,-0.008
10/07/2024,$180.80,42364200,$182.95,$183.60,$180.25,,1.859,-0.008
10/04/2024,$186.51,41079010,$185.75,$187.60,$183.60,,2.179,-0.008
10/03/2024,$181.96,30204300,$183.05,$183.44,$180.88,,1.418,-0.007
10/02/2024,$184.76,23704060,$184.44,$186.60,$184.04,,1.391,-0.007
10/01/2024,$185.13,36044910,$184.90,$186.19,$183.45,,1.493,-0.007
09/30/2024,$186.33,41680400,$187.14,$188.49,$184.65,,2.080,-0.007
09/27/2024,$187.97,36002320,$190.68,$190.90,$187.34,,1.900,-0.007
09/26/2024,$191.16,36334850,$194.31,$194.53,$189.54,,2.633,-0.007
09/25/2024,$192.53,26391140,$193.75,$193.95,$192.16,,0.931,-0.006
09/24/2024,$193.96,43478930,$194.27,$195.37,$190.13,,2.756,-0.006
09/23/2024,$193.88,36993110,$191.64,$194.45,$190.57,,2.036,-0.006
09/20/2024,$191.60,100378600,$190.23,$191.84,$187.41,,2.364,-0.006
09/19/2024,$189.87,39543170,$190.04,$190.99,$188.47,,1.337,-0.005
09/18/2024,$186.43,34448130,$186.45,$188.80,$185.06,,2.021,-0.005
09/17/2024,$186.88,26091680,$186.85,$189.45,$186.14,,1.778,-0.005
09/16/2024,$184.89,26065490,$185.29,$185.81,$183.36,,1.336,-0.004
09/13/2024,$186.49,26495350,$187.00,$188.50,$185.91,,1.393,-0.004
09/12/2024,$187.00,33622480,$184.80,$187.41,$183.54,,2.109,-0.004
09/11/2024,$184.52,42564700,$180.10,$184.99,$175.73,,5.269,-0.004
09/10/2024,$179.55,36233800,$177.49,$180.50,$176.79,,2.099,-0.004
09/09/2024,$175.40,29037360,$174.53,$175.85,$173.51,,1.349,-0.003
09/06/2024,$171.39,41466540,$177.24,$178.38,$171.16,,4.218,-0.003
09/05/2024,$177.89,40170530,$175.00,$179.88,$175.00,,2.789,-0.003
09/04/2024,$173.33,30309230,$174.48,$175.98,$172.54,,1.994,-0.003
09/03/2024,$176.25,37817510,$177.55,$178.26,$175.26,,1.712,-0.003
08/30/2024,$178.50,43429360,$172.78,$178.90,$172.60,,3.650,-0.003
08/29/2024,$172.12,26407820,$173.22,$174.29,$170.81,,2.037,-0.003
08/28/2024,$170.80,29045030,$173.69,$173.69,$168.92,,2.824,-0.002
08/27/2024,$173.12,29841980,$174.15,$174.89,$172.25,,1.533,-0.002
08/26/2024,$175.50,22366240,$176.70,$177.47,$174.30,,1.818,-0.002
08/23/2024,$177.04,29150090,$177.34,$178.97,$175.24,,2.128,-0.002
08/22/2024,$176.13,32047480,$181.38,$181.47,$175.68,,3.296,-0.002
08/21/2024,$180.11,35599120,$179.92,$182.39,$178.89,,1.952,-0.002
08/20/2024,$178.88,26255200,$177.92,$179.01,$177.43,,0.890,-0.002
08/19/2024,$178.22,31129810,$177.64,$178.30,$176.16,,1.215,-0.001
08/16/2024,$177.06,31489180,$177.04,$178.34,$176.26,,1.180,-0.001
08/15/2024,$177.59,51698510,$174.86,$177.91,$173.99,,2.253,-0.001
08/14/2024,$170.10,28843800,$172.11,$172.28,$168.86,,2.025,-0.001
08/13/2024,$170.23,39237920,$167.81,$171.04,$167.10,,2.358,0.000
08/12/2024,$166.80,30072790,$168.14,$168.55,$166.11,,1.469,0.000
08/09/2024,$166.94,36401050,$166.40,$168.55,$165.85,,1.628,0.000
08/08/2024,$165.80,44616210,$165.17,$166.69,$162.55,,2.547,0.000
08/07/2024,$162.77,48408240,$166.55,$167.58,$161.43,,3.810,0.000
08/06/2024,$161.93,59950830,$161.71,$165.08,$158.54,,4.125,0.000
08/05/2024,$161.02,83149440,$154.21,$162.96,$151.61,,7.486,0.000
08/02/2024,$167.90,141448400,$166.75,$168.77,$160.55,,5.120,0.000
08/01/2024,$184.07,70435640,$189.29,$190.60,$181.87,,4.800,0.001
07/31/2024,$186.98,41667330,$185.05,$187.94,$184.46,,1.887,0.001
07/30/2024,$181.71,39508570,$184.72,$185.86,$179.38,,3.612,0.001
07/29/2024,$183.20,33270120,$183.84,$184.75,$182.38,,1.299,0.001
07/26/2024,$182.50,29505960,$180.39,$183.19,$180.24,,1.637,0.001
07/25/2024,$179.85,44464160,$182.91,$183.90,$176.80,,4.013,0.001
07/24/2024,$180.83,41532360,$183.20,$185.45,$180.41,,2.794,0.002
07/23/2024,$186.41,47537670,$184.10,$189.39,$183.56,,3.176,0.002
07/22/2024,$182.55,39931920,$185.00,$185.06,$182.48,,1.414,0.002
07/19/2024,$183.13,43081830,$181.14,$184.93,$180.11,,2.676,0.002
07/18/2024,$183.75,51043630,$189.59,$189.68,$181.45,,4.537,0.002
07/17/2024,$187.93,48076140,$191.35,$191.58,$185.99,,3.006,0.002
07/16/2024,$193.02,33994710,$195.59,$196.62,$192.24,,2.278,0.002
07/15/2024,$192.72,40683230,$194.56,$196.19,$190.83,,2.809,0.002
07/12/2024,$194.49,30598530,$194.80,$196.47,$193.83,,1.362,0.002
07/11/2024,$195.05,44565040,$200.09,$200.27,$192.86,,3.842,0.002
07/10/2024,$199.79,32883750,$200.00,$200.11,$197.69,,1.224,0.002
07/09/2024,$199.34,32756740,$199.40,$200.57,$199.05,,0.766,0.003
07/08/2024,$199.29,34767260,$200.04,$201.20,$197.96,,1.637,0.003
07/05/2024,$200.00,39858890,$198.65,$200.55,$198.17,,1.201,0.003
07/03/2024,$197.59,31597930,$199.94,$200.03,$196.76,,1.661,0.003
07/02/2024,$200.00,45600010,$197.28,$200.43,$195.93,,2.297,0.003
07/01/2024,$197.20,41192010,$193.49,$198.30,$192.82,,2.840,0.003
06/28/2024,$193.25,76930190,$197.73,$198.85,$192.50,,3.299,0.004
06/27/2024,$197.85,74397490,$195.01,$199.84,$194.20,,2.904,0.004
06/26/2024,$193.61,65103890,$186.92,$194.80,$186.26,,4.585,0.004
06/25/2024,$186.34,45898480,$186.81,$188.84,$185.42,,1.844,0.004
06/24/2024,$185.57,50610380,$189.33,$191.00,$185.33,,3.059,0.004
06/21/2024,$189.08,72931750,$187.80,$189.28,$185.86,,1.837,0.004
06/20/2024,$186.10,44726780,$182.91,$186.51,$182.72,,2.074,0.004
06/18/2024,$182.81,36659160,$183.74,$184.29,$181.43,,1.576,0.005
06/17/2024,$184.06,35601910,$182.52,$185.00,$181.22,,2.086,0.005
06/14/2024,$183.66,25456410,$183.08,$183.72,$182.23,,0.818,0.005
06/13/2024,$183.83,39721550,$186.09,$187.67,$182.67,,2.739,0.005
06/12/2024,$186.89,33984220,$188.02,$188.35,$185.43,,1.575,0.005
06/11/2024,$187.23,27265110,$187.06,$187.77,$184.54,,1.752,0.006
06/10/2024,$187.06,34494500,$184.07,$187.23,$183.79,,1.872,0.006
06/07/2024,$184.30,28021470,$184.90,$186.29,$183.36,,1.597,0.006
06/06/2024,$185.00,31371150,$181.75,$185.00,$181.49,,1.934,0.006
06/05/2024,$181.28,32116390,$180.10,$181.50,$178.75,,1.538,0.006
06/04/2024,$179.34,27198390,$177.64,$179.82,$176.44,,1.916,0.006
06/03/2024,$178.34,30786640,$177.70,$178.70,$175.92,,1.580,0.007
05/31/2024,$176.44,58903940,$178.30,$179.21,$173.87,,3.071,0.007
05/30/2024,$179.32,29249230,$181.31,$181.34,$178.36,,1.674,0.007
05/29/2024,$182.02,32009290,$181.70,$184.08,$181.55,,1.394,0.007
05/28/2024,$182.15,29926960,$179.93,$182.24,$179.49,,1.532,0.007
05/24/2024,$180.75,27471640,$181.65,$182.44,$180.30,,1.184,0.007
05/23/2024,$181.05,33670170,$183.66,$184.76,$180.08,,2.599,0.007
05/22/2024,$183.13,28148780,$183.88,$185.22,$181.97,,1.785,0.008
05/21/2024,$183.15,50839130,$182.30,$183.26,$180.75,,1.389,0.008
05/20/2024,$183.54,30511770,$184.34,$186.67,$183.28,,1.847,0.008
05/17/2024,$184.70,33175660,$183.76,$185.30,$183.35,,1.064,0.008
05/16/2024,$183.63,38834450,$185.60,$187.31,$183.46,,2.099,0.008
05/15/2024,$185.99,75459930,$185.97,$186.72,$182.73,,2.183,0.009
05/14/2024,$187.07,38698160,$183.82,$187.72,$183.45,,2.328,0.009
05/13/2024,$186.57,24898610,$188.00,$188.31,$185.36,,1.591,0.009
05/10/2024,$187.48,34141770,$189.16,$189.89,$186.93,,1.585,0.009
05/09/2024,$189.50,43368380,$188.88,$191.70,$187.44,,2.273,0.009
05/08/2024,$188.00,26136350,$187.44,$188.43,$186.39,,1.097,0.009
05/07/2024,$188.76,34048900,$188.92,$189.94,$187.31,,1.407,0.009
05/06/2024,$188.70,34725300,$186.28,$188.75,$184.80,,2.135,0.010
05/03/2024,$186.21,39172000,$186.99,$187.87,$185.42,,1.321,0.010
05/02/2024,$184.72,54303510,$180.85,$185.10,$179.91,,2.885,0.011
05/01/2024,$179.00,94645150,$181.64,$185.15,$176.56,,4.865,0.011
04/30/2024,$175.00,94639790,$181.09,$182.99,$174.80,,4.685,0.011
04/29/2024,$180.96,54063940,$182.75,$183.53,$179.39,,2.308,0.011
04/26/2024,$179.62,43919770,$177.80,$180.82,$176.13,,2.663,0.011
04/25/2024,$173.67,49249390,$169.68,$173.92,$166.32,,4.570,0.011
04/24/2024,$176.59,34185110,$179.94,$180.32,$176.18,,2.352,0.012
04/23/2024,$179.54,37046520,$178.08,$179.93,$175.98,,2.247,0.012
04/22/2024,$177.23,37924890,$176.94,$178.87,$174.56,,2.469,0.012
04/19/2024,$174.63,56000730,$178.74,$179.00,$173.44,,3.206,0.013
04/18/2024,$179.22,30723790,$181.47,$182.39,$178.65,,2.093,0.013
04/17/2024,$181.28,31359670,$184.31,$184.57,$179.82,,2.642,0.013
04/16/2024,$183.32,32891270,$183.27,$184.83,$182.26,,1.410,0.013
04/15/2024,$183.62,48052400,$187.43,$188.69,$183.00,,3.109,0.014
04/12/2024,$186.13,38608850,$187.72,$188.38,$185.08,,1.783,0.014
04/11/2024,$189.05,40020740,$186.74,$189.77,$185.51,,2.296,0.014
04/10/2024,$185.95,35879150,$182.77,$186.27,$182.67,,1.971,0.014
04/09/2024,$185.67,36546950,$187.24,$187.34,$184.20,,1.705,0.015
